1,,dogchr,dogloc,foxchr,foxloc
CM1.122,,1,120016666,VVU01.1rev,2662119
CM1.119c,7.3,1,116860966,VVU01.1rev,5817819
REN229P15,10,1,114817714,VVU01.1rev,7861071
FH2294,14,1,112959846,VVU01.1rev,9718939
FH2774,24.6,1,101817252,VVU01.1rev,20861533
FH2793,30,1,94775239,VVU01.1rev,27903546
VV0088,47.2,1,68023936,VVU01.1rev,54654849
C01.251,50.1,1,60933622,VVU01.1rev,61745163
REN112I02,57.6,1,45618196,VVU01.1rev,77060589
FH3922,61.3,1,32283921,VVU01.1rev,90394864
VV1132,63.8,12,2013962,VVU01.3pos,150561135
FH2152,67.3,12,11091219,VVU01.3pos,159638392
VV1145,67.8,12,11765000,VVU01.3pos,160312173
FH3711,76.3,12,20886847,VVU01.3pos,169434020
VV1171,81.3,12,31477857,VVU01.3pos,180025030
VV1172,81.4,12,32365065,VVU01.3pos,180912238
VV1182,84.8,12,40241592,VVU01.3pos,188788765
FH3591,85.2,12,41550479,VVU01.3pos,190097652
VV1187,87.2,12,43393087,VVU01.3pos,191940260
VV1201,95.1,12,52977223,VVU01.3pos,201524396
FH3116,104.9,12,61917100,VVU01.3pos,210464273
VV1218,113,12,66785769,VVU01.3pos,215332942
VV1221,116.8,12,69384366,VVU01.3pos,217931539
FH3359,,9,7461953,VVU02.1pos,7461953
FH2263,16,9,13295475,VVU02.1pos,13295475
VV0894,17.8,9,11888932,VVU02.1pos,11888932
REN75M10,23.5,9,23377461,VVU02.1pos,23377461
FH2186,30.5,9,31474119,VVU02.1pos,31474119
REN278L10,37.2,9,44816787,VVU02.1pos,44816787
AHT121,43.6,13,48689042,VVU02.2rev,71804004
FH2890,46.6,2,17781958,VVU02.3pos,159392496
FH2613,49.8,2,41317528,VVU02.3pos,182928066
REN70M14,53.3,2,50566615,VVU02.3pos,192177153
FH2608,64,2,62696011,VVU02.3pos,204306549
C02.894,73,2,69663415,VVU02.3pos,211273953
FH2132,78.1,2,73046877,VVU02.3pos,214657415
AHT111,82.2,2,75454260,VVU02.3pos,217064798
REN315H04,97.6,2,84054711,VVU02.3pos,225665249
FH2611,,36,6229471,VVU03.1pos,6229471
REN179H15,9.5,36,13679231,VVU03.1pos,13679231
FH3767,12.1,36,13774688,VVU03.1pos,13774688
FH3865,19.9,36,20265079,VVU03.1pos,20265079
FH2998,25.3,36,25049209,VVU03.1pos,25049209
BAC_373_I19,35.3,34,40440282,VVU03.2rev,41528308
REN266K05,47.5,34,18975881,VVU03.2rev,62992709
REN64E19,48.8,34,16766579,VVU03.2rev,65202011
AHTH163,49.6,34,10686278,VVU03.2rev,71282312
FH3820,49.8,34,1045141,VVU03.2rev,80923449
FH3295,51,6,4589099,VVU03.3pos,77524525
ELN,52.2,6,6330443,VVU03.3pos,79265869
FH2576,52.5,6,8058528,VVU03.3pos,80993954
FH2561,52.7,6,12526843,VVU03.3pos,85462269
REN149M14,54.7,6,28287858,VVU03.3pos,101223284
FH2164,58,6,36381979,VVU03.3pos,109317405
FH2119,62.1,6,46148554,VVU03.3pos,119083980
FH2370,69.4,6,55313338,VVU03.3pos,128248764
FH3969,,19,1428542,VVU04.1pos,1428542
CM19.8b,18.1,19,5539679,VVU04.1pos,5539679
FH2380,28.2,19,8217100,VVU04.1pos,8217100
CM19.13a,33.4,19,10192849,VVU04.1pos,10192849
CM19.18,40.9,19,14966556,VVU04.1pos,14966556
FH3834,45.9,19,17989215,VVU04.1pos,17989215
FH2875,58.4,32,12330752,VVU04.2rev,53496634
CPH2,58.8,32,6691146,VVU04.2rev,59136240
FH3310,59.6,4,17063662,VVU04.3pos,82891048
FH2412,66.3,4,37830829,VVU04.3pos,103658215
CM4.45,70.7,4,42032109,VVU04.3pos,107859495
CM4.46,70.8,4,43048884,VVU04.3pos,108876270
REN195B08,84.2,4,57136668,VVU04.3pos,122964054
FH2097,96.6,4,68706983,VVU04.3pos,134534369
G07704,106,4,76407482,VVU04.3pos,142234868
VV0481,110.7,4,79973378,VVU04.3pos,145800764
REN91I14,,19,27017105,VVU05.1pos,9027890
CM19.34,11.2,19,31146538,VVU05.1pos,13157323
CM19.34b,11.4,19,31292393,VVU05.1pos,13303178
CM19.36,14.8,19,33279656,VVU05.1pos,15290441
CM19.38,17.2,19,35440673,VVU05.1pos,17451458
PEZ3,25.2,19,39720369,VVU05.1pos,21731154
FH3868,31.8,19,47486975,VVU05.1pos,29497760
FH3413,37.2,1,21746215,VVU05.2rev,41261078
FH3010,41.7,18,41845992,VVU05.3rev,84977276
FH2766,48.3,38,3348911,VVU05.4pos,100687705
REN02C20,52.1,38,12264665,VVU05.4pos,109603459
REN183B03,67.9,18,21513344,VVU05.5rev,129224461
VV1635,75.5,18,17061420,VVU05.5rev,133676385
FH2834,80.4,18,9454744,VVU05.5rev,141283061
VV1629,85.3,18,11949776,VVU05.5rev,138788029
REN42F10,,22,4502599,VVU06.1pos,4502599
FH3355,14.7,22,9977426,VVU06.1pos,9977426
VV1926,27.5,22,17875864,VVU06.1pos,17875864
