cornellnumber,FatherPed,MotherPed,Population
F03F111,,,F207
F03F111,,,F207
F03F111,,,F207
F03F111,,,F207
F03F169,,,F207
F03F169,,,F207
F03F169,,,F207
F03F169,,,F207
F03F169,,,F207
F03F340,,,F207
F03F340,,,F207
F03F340,,,F207
F03F340,,,F207
F03F352,,,F207
F03F352,,,F207
F03F352,,,F207
F03F352,,,F207
F03F355,,,F207
F03F355,,,F207
F03F355,,,F207
F03S098,,,F206
F03S098,,,F207
F03S130,,,F207
F03S134,,,F206
F03S134,,,F207
F03S136,,,F207
F03S173,,,F207
F03S207,,,F206
F03S207,,,F207
F04F014,,,F207
F04F014,,,F207
F04F014,,,F207
F04F014,,,F207
F04F047,,,F207
F04F047,,,F207
F04F047,,,F207
F04F047,,,F207
F04F056,,,F207
F04F056,,,F207
F04F056,,,F207
F04F056,,,F207
F04F056,,,F207
F04F056,,,F207
F04F056,,,F207
F04F137,,,F207
F04F137,,,F207
F04F137,,,F207
F04F645,,,F207
F04F645,,,F207
F04F645,,,F207
F04F645,,,F207
F04F645,,,F207
F04F645,,,F207
F04F645,,,F207
F04F656,,,F207
F04F656,,,F207
F04F656,,,F207
F04F656,,,F207
F04F683,,,F207
F05F011,ped51,,F207
F05F020,ped50,ped50,F207
F05F032,ped16,ped16,F206
F05F032,ped26,ped26,F207
F05F034,,ped21,F207
F05F090,ped10,ped10,F206
F05F090,ped36,ped36,F207
F05F299,ped44,ped44,F207
F05F301,,ped7,F206
F05F302,ped48,ped48,F207
F05F302,ped5,ped5,F206
F05F303,ped47,ped47,F207
F05F305,ped18,ped18,F206
F05F307,ped11,ped11,F206
F05F307,ped49,ped49,F207
F05F309,ped41,ped41,F207
F05F311,ped2,ped2,F206
F05F312,ped17,ped17,F206
F05F312,ped35,ped35,F207
F05F314,ped13,ped13,F206
F05F314,ped14,ped14,F206
F05F316,ped30,ped30,F207
F05F317,ped15,ped15,F206
F05F319,ped14,ped14,F206
F05F320,ped11,ped11,F206
F05F320,ped29,ped29,F207
F05F320,ped34,ped34,F207
F05F320,ped50,ped50,F207
F05F323,ped1,ped1,F206
F05F325,ped28,ped28,F207
F05F325,,ped9,F206
F05F326,ped15,ped15,F206
F05F326,ped29,ped29,F207
F05F328,ped10,ped10,F206
F05F328,ped36,ped36,F207
F05F329,ped26.5,ped26.5,F207
F05F332,ped26.5,ped26.5,F207
F05F332,ped6,ped6,F206
F05F334,ped12,ped12,F206
F05F334,ped28,ped28,F207
F05F334,ped42,ped42,F207
F05F334,ped43,ped43,F207
F05F334,ped47,ped47,F207
F05F335,ped34,ped34,F207
F05F335,ped8,ped8,F206
F05F336,ped16,ped16,F206
F05F336,ped17,ped17,F206
F05F336,ped18,ped18,F206
F05F336,ped22,ped22,F207
F05F336,ped51,ped51,F207
F05F436,,,F206
F05F436,,,F207
F05F436,,,F207
F05F436,,,F207
F05F436,,,F207
F05F436,,,F207
F05F436,,,F206
F05F437,,,F206
F05F437,,,F206
F05F437,,,F206
F05F437,,,F206
F05F437,,,F207
F05F437,,,F206
F05F437,,,F207
F05F437,,,F207
F05F437,,,F206
F05F437,,,F207
F05F437,,,F207
F05F437,,,F206
F05F439,,,F206
F05F439,,,F206
F05F439,,,F206
F05F439,,,F206
F05F439,,,F206
F05F439,,,F206
F05F439,,,F206
F05F439,,,F206
F05F439,,,F207
F05F439,,,F207
F05F439,,,F207
F05F439,,,F207
F05F439,,,F207
F05F439,,,F207
F05F439,,,F207
F05F439,,,F206
F05F439,,,F207
F05F439,,,F207
F05F439,,,F207
F05F439,,,F207
F05F439,,,F206
F05F439,,,F207
F05F439,,,F206
F05F439,,,F207
F05F439,,,F206
F05F439,,,F206
F05F439,,,F206
F05F442,,,F206
F05F442,,,F207
F05F479,,,F207
F05F479,,,F207
F05F484,,,F206
F05F484,,,F206
F05F484,,,F207
F05F484,,,F207
F05F484,,,F207
F05F492,,,F207
F05F492,,,F207
F05F492,,,F206
F05F492,,,F206
F05F500,,,F206
F05F500,,,F206
F05F500,,,F206
F05F500,,,F207
F05F500,,,F207
F05F500,,,F207
F05F500,,,F206
F05F505,,,F206
F05F505,,,F206
F05F505,,,F207
F05F505,,,F207
F05F505,,,F207
F05F505,,,F207
F05F505,,,F206
F05F506,,,F206
F05F506,,,F206
F05F506,,,F206
F05F506,,,F206
F05F506,,,F206
F05F506,,,F207
F05F506,,,F207
F05F511,,,F206
F05F511,,,F206
F05F511,,,F206
F05F511,,,F207
F05F511,,,F207
F05F511,,,F207
F05F511,,,F207
F05F511,,,F207
F05F511,,,F207
F05F511,,,F207
F05F512,,,F207
F05F512,,,F207
F05F512,,,F207
F05F512,,,F207
F05F512,,,F206
F05F526,,,F206
F05F526,,,F206
F05F532,,,F207
F05F532,,,F207
F05F539,,,F206
F05F539,,,F207
F05F539,,,F207
F05F539,,,F207
F05F539,,,F207
F05F539,,,F207
F05F539,,,F206
F05F558,,,F207
F05F558,,,F206
F05F560,ped26,ped26,F207
F05F560,ped6,ped6,F206
F05F560,ped7,ped7,F206
F05F562,ped13,ped13,F206
F05F562,ped20,ped20,F207
F05F563,ped1,ped1,F206
F05F563,ped2,ped2,F206
F05F564,ped3,ped3,F206
F05F564,ped4,ped4,F206
F05F564,ped5,ped5,F206
F05F565,ped23,,F207
F05F566,ped3,ped3,F206
F05F567,ped19,ped19,F207
F05F579,ped4,ped4,F206
F05F579,ped46,ped46,F207
F05F580,ped12,ped12,F206
F05F580,ped45,ped45,F207
F05F587,,,F206
F05F587,,,F207
F05F587,,,F206
F05F587,,,F207
F05F587,,,F207
F05F587,,,F207
F05F588,,,F207
F05F588,,,F207
F05F588,,,F207
F05F588,,,F206
F05F590,,,F206
F05F590,,,F206
F05F590,,,F206
F05F590,,,F207
F05F590,,,F207
F05F590,,,F207
F05F590,,,F206
F05F590,,,F206
F05F590,,,F206
F05F590,,,F206
F05F590,,,F206
F05F591,,,F207
F05F591,,,F207
F05F591,,,F207
F05F591,,,F206
F05F592,,,F206
F05F592,,,F206
F05F592,,,F207
F05F592,,,F207
F05F594,,,F206
F05F594,,,F206
F05F594,,,F206
F05F594,,,F207
F05F594,,,F207
F05F594,,,F207
F06F451,ped40,ped40,F207
F06F452,ped42,ped42,F207
F06F455,ped39,ped39,F207
F06F456,ped25,ped25,F207
F06F458,ped43,,F207
F06F460,ped19,ped19,F207
F06F465,ped20,ped20,F207
F06F465,ped24,ped24,F207
F06F465,ped27,ped27,F207
F06F469,ped31,ped31,F207
F06F469,ped38,ped38,F207
F06F471,ped46,ped46,F207
F06F472,ped27,ped27,F207
F06F478,ped32,ped32,F207
F06F478,ped33,ped33,F207
F06F479,ped37,ped37,F207
F06F479,ped44,ped44,F207
F06F483,ped30,,F207
F06F485,ped31,ped31,F207
F06F486,ped35,ped35,F207
F06F486,ped48,ped48,F207
F06F487,ped33,ped33,F207
F06F489,ped32,ped32,F207
F06F490,ped49,ped49,F207
F06F491,ped15,ped15,F206
F06F492,ped15,ped15,F206
F06F493,ped15,ped15,F206
F06F494,ped15,ped15,F206
F06F495,ped15,ped15,F206
F06F496,ped15,ped15,F206
F06F497,2ped8,ped8,F206
F06F498,2ped8,ped8,F206
F06F499,2ped8,ped8,F206
F06F500,2ped8,ped8,F206
F06F501,2ped8,ped8,F206
F06F502,2ped8,ped8,F206
F06F503,ped9,ped9,F206
F06F504,ped9,ped9,F206
F06F505,ped9,ped9,F206
F06F506,ped9,ped9,F206
F06F507,ped9,ped9,F206
F06F508,ped9,ped9,F206
F06F509,ped10,ped10,F206
F06F510,ped10,ped10,F206
F06F511,ped10,ped10,F206
F06F512,ped10,ped10,F206
F06F513,ped6,ped6,F206
F06F514,ped6,ped6,F206
F06F515,ped6,ped6,F206
F06F516,ped6,ped6,F206
F06F517,ped6,ped6,F206
F06F518,ped6,ped6,F206
F06F519,ped6,ped6,F206
F06F520,ped18,ped18,F206
F06F521,ped18,ped18,F206
F06F522,ped18,ped18,F206
F06F523,ped18,ped18,F206
F06F525,ped16,ped16,F206
F06F526,ped16,ped16,F206
F06F527,ped16,ped16,F206
F06F528,ped16,ped16,F206
F06F529,ped16,ped16,F206
F06F530,ped7,ped7,F206
F06F531,ped7,ped7,F206
F06F532,ped7,ped7,F206
F06F533,ped7,ped7,F206
F06F534,ped7,ped7,F206
F06F535,ped7,ped7,F206
F06F536,ped1,ped1,F206
F06F537,ped1,ped1,F206
F06F538,ped1,ped1,F206
F06F539,ped1,ped1,F206
F06F540,ped12,ped12,F206
F06F541,ped12,ped12,F206
F06F542,ped12,ped12,F206
F06F546,ped13,ped13,F206
F06F547,ped4,ped4,F206
F06F817,ped3,ped3,F206
F06F818,ped3,ped3,F206
F06F819,ped3,ped3,F206
F06F820,ped3,ped3,F206
F06F821,ped3,ped3,F206
F06F822,ped3,ped3,F206
F06F823,ped11,ped11,F206
F06F824,ped11,ped11,F206
F06F825,ped11,ped11,F206
F06F826,ped11,ped11,F206
F06F827,ped11,ped11,F206
F06F828,ped14,ped14,F206
F06F829,ped14,ped14,F206
F06F830,ped14,ped14,F206
F06F831,ped14,ped14,F206
F06F832,ped14,ped14,F206
F06F833,ped14,ped14,F206
F06F834,ped14,ped14,F206
F06F835,ped14,ped14,F206
F06F836,ped5,ped5,F206
F06F837,ped5,ped5,F206
F06F838,ped5,ped5,F206
F06F839,ped5,ped5,F206
F06F840,ped5,ped5,F206
F06F841,ped17,ped17,F206
F06F842,ped17,ped17,F206
F06F843,ped17,ped17,F206
F06F844,ped17,ped17,F206
F06F845,ped17,ped17,F206
F06F846,ped17,ped17,F206
F06F847,ped17,ped17,F206
F06F848,ped2,ped2,F206
F06F849,ped2,ped2,F206
F06F850,ped2,ped2,F206
F06F851,ped2,ped2,F206
F06F852,ped2,ped2,F206
F06F853,ped2,ped2,F206
F06F854,ped2,ped2,F206
F06F874,ped40,ped40,F207
F06F875,ped38,ped38,F207
F06F876,ped41,ped41,F207
F06F880,ped25,ped25,F207
F06F881,ped21,ped21,F207
F06F881,ped45,ped45,F207
F06F883,ped23,ped23,F207
F07F138,ped34,ped34,F207
F07F139,ped34,ped34,F207
F07F140,ped34,ped34,F207
F07F141,ped34,ped34,F207
F07F142,ped34,ped34,F207
F07F143,ped31,ped31,F207
F07F144,ped31,ped31,F207
F07F145,ped31,ped31,F207
F07F146,ped31,ped31,F207
F07F147,ped31,ped31,F207
F07F148,ped26,ped26,F207
F07F149,ped39,ped39,F207
F07F150,ped39,ped39,F207
F07F151,ped39,ped39,F207
F07F152,ped39,ped39,F207
F07F153,ped39,ped39,F207
F07F154,ped50,ped50,F207
F07F155,ped50,ped50,F207
F07F156,ped50,ped50,F207
F07F157,ped50,ped50,F207
F07F158,ped50,ped50,F207
F07F159,ped35,ped35,F207
F07F160,ped35,ped35,F207
F07F161,ped35,ped35,F207
F07F162,ped35,ped35,F207
F07F163,ped35,ped35,F207
F07F164,ped35,ped35,F207
F07F165,ped42,ped42,F207
F07F166,ped42,ped42,F207
F07F167,ped42,ped42,F207
F07F168,ped38,ped38,F207
F07F169,ped38,ped38,F207
F07F170,ped38,ped38,F207
F07F171,ped38,ped38,F207
F07F172,ped48,ped48,F207
F07F173,ped48,ped48,F207
F07F174,ped51,ped51,F207
F07F175,ped51,ped51,F207
F07F176,ped51,ped51,F207
F07F177,ped51,ped51,F207
F07F178,ped51,ped51,F207
F07F179,ped51,ped51,F207
F07F180,ped51,ped51,F207
F07F181,ped51,ped51,F207
F07F182,ped26.5,ped26.5,F207
F07F183,ped26.5,ped26.5,F207
F07F184,ped26.5,ped26.5,F207
F07F185,ped27,ped27,F207
F07F186,ped27,ped27,F207
F07F187,ped27,ped27,F207
F07F188,ped27,ped27,F207
