'cornell_number','VV1127','VV1127.copy','VV1118','VV1118.copy','VV1112','VV1112.copy','FH2019','FH2019.copy','FH3393','FH3393.copy','REN245N06','REN245N06.copy','CM11.33','CM11.33.copy','CM11.27','CM11.27.copy','CM11.15','CM11.15.copy','CM11.13','CM11.13.copy','FH4031','FH4031.copy','REN172L08','REN172L08.copy','REN94K23','REN94K23.copy','REN01G01','REN01G01.copy','CM35.13d','CM35.13d.copy','CM35.11b','CM35.11b.copy','CM35.9a','CM35.9a.copy','CM35.7a','CM35.7a.copy','CM35.4a','CM35.4a.copy','CM5.34','CM5.34.copy','CM5.37','CM5.37.copy','CM5.41','CM5.41.copy','CM5.60','CM5.60.copy','CM5.63','CM5.63.copy','FH3928','FH3928.copy','FH3004','FH3004.copy','FH3320','FH3320.copy','DTR05.8','DTR05.8.copy','CM5.41b','CM5.41b.copy','FH3278','FH3278.copy','FH3978','FH3978.copy','CM5.627','CM5.627.copy','REN175P10','REN175P10.copy','CM5.701','CM5.701.copy','CM5.761','CM5.761.copy','FH3089','FH3089.copy','CM5.832','CM5.832.copy','CM5.894','CM5.894.copy'
'F05F563',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165
'F05F323',367,371,325,330,343,352,210,210,252,260,183,183,269,307,166,169,195,199,253,257,316,324,235,237,243,245,238,238,195,202,167,175,228,236,255,332,109,109,286,290,236,240,205,213,330,334,323,329,171,171,256,282,200,204,274,274,205,205,302,310,0,0,201,206,362,364,228,228,328,330,212,214,247,249,165,165
'F06F539',371,375,330,330,352,352,210,210,260,329,183,185,279,307,166,166,199,199,257,257,324,324,235,235,245,245,234,238,195,195,175,175,232,236,332,338,109,109,290,302,228,240,201,205,334,334,323,323,171,171,260,282,200,226,274,282,205,206,310,310,0,0,191,201,350,364,227,228,328,330,212,212,247,257,165,165
'F06F538',367,375,325,330,352,354,186,210,260,334,183,183,288,307,164,166,199,211,250,257,324,324,231,235,237,245,238,242,195,210,175,175,236,236,332,332,109,119,286,290,228,240,205,211,334,338,318,323,167,171,260,282,200,226,274,282,205,206,310,310,0,0,191,201,350,364,227,228,328,330,212,212,247,257,165,165
'F06F537',371,375,330,330,343,354,186,210,252,334,183,183,269,288,164,169,195,211,250,253,316,324,231,237,237,243,238,242,202,210,167,175,228,236,255,332,109,119,286,286,228,236,211,213,330,338,318,329,167,171,256,260,204,226,274,282,205,206,302,310,0,0,191,206,350,364,227,228,330,330,212,214,249,257,189,165
'F06F536',371,375,330,330,343,352,210,210,260,329,183,185,279,307,166,166,199,199,257,257,324,324,235,235,245,245,234,238,195,195,175,175,232,236,332,338,109,109,290,302,228,240,201,205,334,334,323,323,171,171,272,282,200,204,274,278,205,234,310,310,0,0,206,206,352,362,228,235,316,328,212,212,247,257,165,165
'F05F439',367,375,323,330,352,352,210,210,264,329,183,185,267,279,164,166,199,199,257,257,324,324,235,235,245,245,0,0,195,195,175,175,232,236,332,338,109,119,298,302,221,228,190,201,325,334,323,332,167,171,260,272,204,230,278,278,234,234,310,310,0,0,203,206,352,358,235,235,316,327,212,212,249,257,189,165
'F05F590',375,375,330,330,354,354,186,198,334,334,178,183,288,288,164,169,201,211,250,261,320,324,231,239,237,243,234,242,202,210,171,175,236,236,266,332,119,119,286,286,221,228,211,215,334,338,318,323,167,171,260,294,204,226,278,282,206,234,310,318,0,0,191,203,350,362,227,235,310,330,212,212,257,263,183,165
'F05F594',367,367,325,328,348,352,210,210,260,319,183,183,275,307,166,173,199,199,257,257,324,324,235,235,245,245,238,238,195,195,175,175,236,236,269,332,109,109,290,290,236,240,205,205,334,334,323,323,0,0,260,282,200,204,274,282,202,205,298,310,0,0,201,206,362,364,227,228,327,330,212,214,249,253,189,165
'F05F511',367,371,323,330,343,354,210,210,252,260,183,183,269,269,169,169,195,211,250,253,316,324,231,237,237,243,238,242,202,210,167,175,228,236,255,332,109,119,286,286,228,236,211,213,330,334,323,329,0,0,256,256,204,230,274,274,205,205,302,302,0,0,206,206,362,362,228,235,328,330,212,214,247,263,165,165
