'cornellnumber','NameQTL','FatherQTL','MotherQTL','Population','name','generationdescription','number','mom','dad','sex_male.1_'
'F05F563',F05F563F206F2ped1,F05F439F206F2ped1,F05F590F206F2ped1,F206,Aval_05,F1,1,7,8,1
'F05F323',F05F323F206F2ped1,F05F594F206F2ped1,F05F511F206F2ped1,F206,Daniya_05,F1,2,9,10,2
'F06F539',F06F539,F05F563F206F2ped1,F05F323F206F2ped1,F206,1m,F2,3,1,2,1
'F06F538',F06F538,F05F563F206F2ped1,F05F323F206F2ped1,F206,2f,F2,4,1,2,2
'F06F537',F06F537,F05F563F206F2ped1,F05F323F206F2ped1,F206,3f,F2,5,1,2,2
'F06F536',F06F536,F05F563F206F2ped1,F05F323F206F2ped1,F206,4f,F2,6,1,2,2
'F05F439',F05F439F206F2ped1,0,0,F206,6817(03),aggr,7,0,0,1
'F05F590',F05F590F206F2ped1,0,0,F206,Aglaida_04,tame,8,0,0,2
'F05F594',F05F594F206F2ped1,0,0,F206,6711(02),aggr,9,0,0,1
'F05F511',F05F511F206F2ped1,0,0,F206,Dezhi_03,tame,10,0,0,2
'F05F328',F05F328F206F2ped10,F05F439F206F2ped10,F05F505F206F2ped10,F206,Dastin_05,F1,103,109,110,1
'F05F090',F05F090F206F2ped10,F03S207F206F2ped10,F03S134F206F2ped10,F206,Pavlina_04,F1,104,111,112,2
'F06F512',F06F512,F05F328F206F2ped10,F05F090F206F2ped10,F206,1f,F2,105,103,104,2
'F06F511',F06F511,F05F328F206F2ped10,F05F090F206F2ped10,F206,2f,F2,106,103,104,2
'F06F510',F06F510,F05F328F206F2ped10,F05F090F206F2ped10,F206,3m,F2,107,103,104,1
'F06F509',F06F509,F05F328F206F2ped10,F05F090F206F2ped10,F206,4f,F2,108,103,104,2
'F05F439',F05F439F206F2ped10,0,0,F206,6817(03),aggr,109,0,0,1
'F05F505',F05F505F206F2ped10,0,0,F206,Dorna_03,tame,110,0,0,2
'F03S207',F03S207F206F2ped10,0,0,F206,6555,aggr,111,0,0,1
'F03S134',F03S134F206F2ped10,0,0,F206,Plani,tame,112,0,0,2
'F05F320',F05F320F206F2ped11,F05F594F206F2ped11,F05F511F206F2ped11,F206,Djonrid_05,F1,113,120,121,1
'F05F307',F05F307F206F2ped11,F05F526F206F2ped11,F05F484F206F2ped11,F206,Tuta_05,F1,114,122,123,2
'F06F823',F06F823,F05F320F206F2ped11,F05F307F206F2ped11,F206,1m,F2,115,113,114,1
'F06F824',F06F824,F05F320F206F2ped11,F05F307F206F2ped11,F206,2f,F2,116,113,114,2
'F06F825',F06F825,F05F320F206F2ped11,F05F307F206F2ped11,F206,3m,F2,117,113,114,1
'F06F826',F06F826,F05F320F206F2ped11,F05F307F206F2ped11,F206,4m,F2,118,113,114,1
'F06F827',F06F827,F05F320F206F2ped11,F05F307F206F2ped11,F206,5f,F2,119,113,114,2
'F05F594',F05F594F206F2ped11,0,0,F206,6711(02),aggr,120,0,0,1
'F05F511',F05F511F206F2ped11,0,0,F206,Dezhi_03,tame,121,0,0,2
'F05F526',F05F526F206F2ped11,0,0,F206,Ekim_99,tame,122,0,0,1
'F05F484',F05F484F206F2ped11,0,0,F206,6888(03),aggr,123,0,0,2
'F05F334',F05F334F206F2ped12,F05F436F206F2ped12,F05F539F206F2ped12,F206,Dinat_05,F1,124,129,130,1
'F05F580',F05F580F206F2ped12,F05F587F206F2ped12,F05F592F206F2ped12,F206,Tema_05,F1,125,131,132,2
'F06F542',F06F542,F05F334F206F2ped12,F05F580F206F2ped12,F206,1f,F2,126,124,125,2
'F06F541',F06F541,F05F334F206F2ped12,F05F580F206F2ped12,F206,2m,F2,127,124,125,1
'F06F540',F06F540,F05F334F206F2ped12,F05F580F206F2ped12,F206,3m,F2,128,124,125,1
'F05F436',F05F436F206F2ped12,0,0,F206,6813(03),aggr,129,0,0,1
'F05F539',F05F539F206F2ped12,0,0,F206,Dina_99,tame,130,0,0,2
'F05F587',F05F587F206F2ped12,0,0,F206,Altay_04,tame,131,0,0,1
'F05F592',F05F592F206F2ped12,0,0,F206,6926(04),aggr,132,0,0,2
'F05F314',F05F314F206F2ped13,F05F437F206F2ped13,F05F506F206F2ped13,F206,Levon_05,F1,133,136,137,1
'F05F562',F05F562F206F2ped13,F05F439F206F2ped13,F05F590F206F2ped13,F206,Agana_05,F1,134,138,139,2
'F06F546',F06F546,F05F314F206F2ped13,F05F562F206F2ped13,F206,1f,F2,135,133,134,2
'F05F437',F05F437F206F2ped13,0,0,F206,6819(03),aggr,136,0,0,1
'F05F506',F05F506F206F2ped13,0,0,F206,Lara_03,tame,137,0,0,2
'F05F439',F05F439F206F2ped13,0,0,F206,6817(03),aggr,138,0,0,1
'F05F590',F05F590F206F2ped13,0,0,F206,Aglaida_04,tame,139,0,0,2
'F05F314',F05F314F206F2ped14,F05F437F206F2ped14,F05F506F206F2ped14,F206,Levon_05,F1,140,150,151,1
'F05F319',F05F319F206F2ped14,F05F594F206F2ped14,F05F511F206F2ped14,F206,Delava_05,F1,141,152,153,2
'F06F828',F06F828,F05F314F206F2ped14,F05F319F206F2ped14,F206,1f,F2,142,140,141,2
'F06F829',F06F829,F05F314F206F2ped14,F05F319F206F2ped14,F206,2f,F2,143,140,141,2
'F06F830',F06F830,F05F314F206F2ped14,F05F319F206F2ped14,F206,3m,F2,144,140,141,1
'F06F831',F06F831,F05F314F206F2ped14,F05F319F206F2ped14,F206,4f,F2,145,140,141,2
'F06F832',F06F832,F05F314F206F2ped14,F05F319F206F2ped14,F206,5f,F2,146,140,141,2
'F06F833',F06F833,F05F314F206F2ped14,F05F319F206F2ped14,F206,6m,F2,147,140,141,1
'F06F834',F06F834,F05F314F206F2ped14,F05F319F206F2ped14,F206,7f,F2,148,140,141,2
'F06F835',F06F835,F05F314F206F2ped14,F05F319F206F2ped14,F206,8f,F2,149,140,141,2
'F05F437',F05F437F206F2ped14,0,0,F206,6819(03),aggr,150,0,0,1
