cornell_number,mother,father
F05F563,F05F590,F05F439
F05F323,F05F511,F05F594
F06F539,F05F323,F05F563
F06F538,F05F323,F05F563
F06F537,F05F323,F05F563
F06F536,F05F323,F05F563
F05F439,NULL,NULL
F05F590,NULL,NULL
F05F594,NULL,NULL
F05F511,NULL,NULL
F05F328,F05F505,F05F439
F05F090,F03S134,F03S207
F06F512,F05F090,F05F328
F06F511,F05F090,F05F328
F06F510,F05F090,F05F328
F06F509,F05F090,F05F328
F05F439,NULL,NULL
F05F505,NULL,NULL
F03S207,NULL,NULL
F03S134,NULL,NULL
F05F320,F05F511,F05F594
F05F307,F05F484,F05F526
F06F823,F05F307,F05F320
F06F824,F05F307,F05F320
F06F825,F05F307,F05F320
F06F826,F05F307,F05F320
F06F827,F05F307,F05F320
F05F594,NULL,NULL
F05F511,NULL,NULL
F05F526,NULL,NULL
F05F484,NULL,NULL
F05F334,F05F539,F05F436
F05F580,F05F592,F05F587
F06F542,F05F580,F05F334
F06F541,F05F580,F05F334
F06F540,F05F580,F05F334
F05F436,NULL,NULL
F05F539,NULL,NULL
F05F587,NULL,NULL
F05F592,NULL,NULL
F05F314,F05F506,F05F437
F05F562,F05F590,F05F439
F06F546,F05F562,F05F314
F05F437,NULL,NULL
F05F506,NULL,NULL
F05F439,NULL,NULL
F05F590,NULL,NULL
F05F314,F05F506,F05F437
F05F319,F05F511,F05F594
F06F828,F05F319,F05F314
F06F829,F05F319,F05F314
F06F830,F05F319,F05F314
F06F831,F05F319,F05F314
F06F832,F05F319,F05F314
F06F833,F05F319,F05F314
F06F834,F05F319,F05F314
F06F835,F05F319,F05F314
F05F437,NULL,NULL
F05F506,NULL,NULL
F05F594,NULL,NULL
F05F511,NULL,NULL
F05F317,F05F506,F05F437
F05F326,F05F505,F05F439
F06F495,F05F326,F05F317
F06F494,F05F326,F05F317
F06F493,F05F326,F05F317
F06F492,F05F326,F05F317
F06F491,F05F326,F05F317
F06F496,F05F326,F05F317
F05F437,NULL,NULL
F05F506,NULL,NULL
F05F439,NULL,NULL
F05F505,NULL,NULL
F05F336,F05F500,F05F439
F05F032,F03S098,F05F442
F06F529,F05F032,F05F336
F06F528,F05F032,F05F336
F06F527,F05F032,F05F336
F06F526,F05F032,F05F336
F06F525,F05F032,F05F336
F05F439,NULL,NULL
F05F500,NULL,NULL
F05F442,NULL,NULL
F03S098,NULL,NULL
F05F336,F05F500,F05F439
F05F312,F05F506,F05F437
F06F841,F05F312,F05F336
F06F842,F05F312,F05F336
F06F843,F05F312,F05F336
F06F844,F05F312,F05F336
F06F845,F05F312,F05F336
F06F846,F05F312,F05F336
F06F847,F05F312,F05F336
F05F439,NULL,NULL
F05F500,NULL,NULL
F05F437,NULL,NULL
F05F506,NULL,NULL
F05F336,F05F500,F05F439
F05F305,F05F484,F05F526
F06F523,F05F305,F05F336
F06F522,F05F305,F05F336
F06F521,F05F305,F05F336
F06F520,F05F305,F05F336
F05F439,NULL,NULL
F05F500,NULL,NULL
F05F526,NULL,NULL
F05F484,NULL,NULL
F06F460,F05F479,F05F587
F05F567,F05F591,F05F437
F07F215,F05F567,F06F460
F07F216,F05F567,F06F460
F07F217,F05F567,F06F460
F07F218,F05F567,F06F460
F07F219,F05F567,F06F460
F05F587,NULL,NULL
F05F479,NULL,NULL
F05F437,NULL,NULL
F05F591,NULL,NULL
F05F563,F05F590,F05F439
F05F311,F05F506,F05F437
F06F848,F05F311,F05F563
F06F849,F05F311,F05F563
F06F850,F05F311,F05F563
F06F851,F05F311,F05F563
F06F852,F05F311,F05F563
F06F853,F05F311,F05F563
F06F854,F05F311,F05F563
F05F439,NULL,NULL
F05F590,NULL,NULL
F05F437,NULL,NULL
F05F506,NULL,NULL
F06F465,F03F340,F04F014
F05F562,F05F590,F05F439
F07F285,F05F562,F06F465
F07F284,F05F562,F06F465
F07F283,F05F562,F06F465
F04F014,NULL,NULL
F03F340,NULL,NULL
F05F439,NULL,NULL
F05F590,NULL,NULL
F06F881,F05F512,F03F111
F05F034,F03S130,0F207F2
